"beer_receipts","cover_charge_receipts","inside_outside_city_limits_code_y_n","liquor_receipts","location_address","location_city","location_county","location_name","location_number","location_state","location_zip","obligation_end_date_yyyymmdd","responsibility_begin_date_yyyymmdd","responsibility_end_date_yyyymmdd","tabc_permit_number","taxpayer_address","taxpayer_city","taxpayer_county","taxpayer_name","taxpayer_number","taxpayer_state","taxpayer_zip","total_receipts","wine_receipts"
"48026","0","MB746923","21521","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2015-04-30T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","70926","1379"
"69408","0","MB746923","23014","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2011-09-30T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","94919","2497"
"62932","0","MB536413","22433","922 W 12TH ST","AUSTIN","227","TAVERN","2","TX","78703","2007-10-31T00:00:00.000","2003-06-04T00:00:00.000","2010-04-26T00:00:00.000","Y","6101 GUN BOW CT","AUSTIN","227","THE TAVERN AT 12TH LP","13714564534","TX","78746","87615","2250"
"51658","0","MB746923","23490","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2014-11-30T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","78089","2941"
"39360","0","MB746923","18998","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2015-12-31T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","59686","1328"
"48078","0","MB536413","18443","922 W 12TH ST","AUSTIN","227","TAVERN","2","TX","78703","2007-04-30T00:00:00.000","2003-06-04T00:00:00.000","2010-04-26T00:00:00.000","Y","6101 GUN BOW CT","AUSTIN","227","THE TAVERN AT 12TH LP","13714564534","TX","78746","68549","2028"
"28375","0","MB746923","13669","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2016-05-31T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","43221","1177"
"52944","0","MB746923","21669","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2011-03-31T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","76177","1564"
"44630","0","MB746923","14825","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2011-06-30T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","60816","1361"
"55830","0","MB746923","22770","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2013-10-31T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","80864","2264"
"50498","0","MB746923","17441","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2013-06-30T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","68934","995"
"31604","0","MB536413","13372","922 W 12TH ST","AUSTIN","227","TAVERN","2","TX","78703","2009-02-28T00:00:00.000","2003-06-04T00:00:00.000","2010-04-26T00:00:00.000","Y","6101 GUN BOW CT","AUSTIN","227","THE TAVERN AT 12TH LP","13714564534","TX","78746","46617","1641"
"62962","0","MB536413","23161","922 W 12TH ST","AUSTIN","227","TAVERN","2","TX","78703","2008-10-31T00:00:00.000","2003-06-04T00:00:00.000","2010-04-26T00:00:00.000","Y","6101 GUN BOW CT","AUSTIN","227","THE TAVERN AT 12TH LP","13714564534","TX","78746","88480","2357"
"26869","0","MB746923","15262","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2015-07-31T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","43309","1178"
"36178","0","MB746923","13142","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2010-05-31T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","49905","585"
"38550","0","MB746923","16867","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2016-10-31T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","58679","3262"
"41807","0","MB746923","15337","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2014-02-28T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","58754","1610"
"31563","0","MB746923","16284","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2015-02-28T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","49454","1607"
"59809","0","MB746923","25066","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2014-09-30T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","87398","2523"
"41721","0","MB746923","19799","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2014-12-31T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","63626","2106"
"35707","0","MB536413","14549","922 W 12TH ST","AUSTIN","227","TAVERN","2","TX","78703","2010-04-30T00:00:00.000","2003-06-04T00:00:00.000","2010-04-26T00:00:00.000","Y","6101 GUN BOW CT","AUSTIN","227","THE TAVERN AT 12TH LP","13714564534","TX","78746","51842","1586"
"48792","0","MB536413","21949","922 W 12TH ST","AUSTIN","227","TAVERN","2","TX","78703","2008-12-31T00:00:00.000","2003-06-04T00:00:00.000","2010-04-26T00:00:00.000","Y","6101 GUN BOW CT","AUSTIN","227","THE TAVERN AT 12TH LP","13714564534","TX","78746","72995","2254"
"50024","0","MB536413","23717","922 W 12TH ST","AUSTIN","227","TAVERN","2","TX","78703","2009-10-31T00:00:00.000","2003-06-04T00:00:00.000","2010-04-26T00:00:00.000","Y","6101 GUN BOW CT","AUSTIN","227","THE TAVERN AT 12TH LP","13714564534","TX","78746","75937","2196"
"35750","0","MB746923","14288","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2016-11-30T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","52288","2250"
"31848","0","MB536413","14607","922 W 12TH ST","AUSTIN","227","TAVERN","2","TX","78703","2010-02-28T00:00:00.000","2003-06-04T00:00:00.000","2010-04-26T00:00:00.000","Y","6101 GUN BOW CT","AUSTIN","227","THE TAVERN AT 12TH LP","13714564534","TX","78746","47899","1444"
"34768","0","MB746923","12934","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2012-07-31T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","48607","905"
"40022","0","MB746923","16249","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2013-07-31T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","57611","1340"
"43613","0","MB536413","16213","922 W 12TH ST","AUSTIN","227","TAVERN","2","TX","78703","2007-06-30T00:00:00.000","2003-06-04T00:00:00.000","2010-04-26T00:00:00.000","Y","6101 GUN BOW CT","AUSTIN","227","THE TAVERN AT 12TH LP","13714564534","TX","78746","61534","1708"
"32461","0","MB746923","14580","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2017-03-31T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","48422","1381"
"0","0","MB746923","0","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2010-04-30T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","0","0"
"33966","0","MB746923","15904","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2015-06-30T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","51177","1307"
"40046","0","MB746923","14460","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2011-08-31T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","56001","1495"
"51084","0","MB746923","25195","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2015-09-30T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","78743","2464"
"67179","0","MB746923","22551","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2010-10-31T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","92189","2459"
"38409","0","MB746923","13719","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2011-02-28T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","53687","1559"
"38032","0","MB536413","14624","922 W 12TH ST","AUSTIN","227","TAVERN","2","TX","78703","2007-07-31T00:00:00.000","2003-06-04T00:00:00.000","2010-04-26T00:00:00.000","Y","6101 GUN BOW CT","AUSTIN","227","THE TAVERN AT 12TH LP","13714564534","TX","78746","54441","1785"
"36996","0","MB746923","16609","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2012-11-30T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","56985","3380"
"16098","0","MB746923","33140","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2016-12-31T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","51710","2472"
"56003","0","MB746923","25294","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2013-12-31T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","82842","1545"
"43106","0","MB536413","19607","922 W 12TH ST","AUSTIN","227","TAVERN","2","TX","78703","2010-01-31T00:00:00.000","2003-06-04T00:00:00.000","2010-04-26T00:00:00.000","Y","6101 GUN BOW CT","AUSTIN","227","THE TAVERN AT 12TH LP","13714564534","TX","78746","64087","1374"
"22965","0","MB746923","14212","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2017-08-31T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","38920","1743"
"46940","0","MB746923","17046","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2010-06-30T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","64954","968"
"36586","0","MB746923","13078","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2010-07-31T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","50594","930"
"31076","0","MB536413","11539","922 W 12TH ST","AUSTIN","227","TAVERN","2","TX","78703","2008-07-31T00:00:00.000","2003-06-04T00:00:00.000","2010-04-26T00:00:00.000","Y","6101 GUN BOW CT","AUSTIN","227","THE TAVERN AT 12TH LP","13714564534","TX","78746","44141","1526"
"40894","0","MB746923","14970","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2012-08-31T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","57139","1275"
"55308","0","MB746923","19588","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2011-04-30T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","77018","2122"
"42960","0","MB746923","19136","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2013-04-30T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","63535","1439"
"65785","0","MB536413","27959","922 W 12TH ST","AUSTIN","227","TAVERN","2","TX","78703","2007-11-30T00:00:00.000","2003-06-04T00:00:00.000","2010-04-26T00:00:00.000","Y","6101 GUN BOW CT","AUSTIN","227","THE TAVERN AT 12TH LP","13714564534","TX","78746","96194","2450"
"52475","0","MB746923","19260","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2013-08-31T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","73296","1561"
"71837","0","MB746923","24986","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2012-09-30T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","98610","1787"
"59472","0","MB746923","23874","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2011-12-31T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","85949","2603"
"27890","0","MB746923","12142","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2016-07-31T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","41255","1223"
"30562","0","MB746923","14196","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2015-08-31T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","46329","1571"
"27432","0","MB746923","35714","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2015-11-30T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","65371","2225"
"25874","0","MB536413","12642","922 W 12TH ST","AUSTIN","227","TAVERN","2","TX","78703","2009-07-31T00:00:00.000","2003-06-04T00:00:00.000","2010-04-26T00:00:00.000","Y","6101 GUN BOW CT","AUSTIN","227","THE TAVERN AT 12TH LP","13714564534","TX","78746","39365","849"
"32854","0","MB746923","12664","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2010-08-31T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","46730","1212"
"27793","0","MB746923","14243","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2016-08-31T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","43492","1456"
"40032","0","MB536413","17586","922 W 12TH ST","AUSTIN","227","TAVERN","2","TX","78703","2010-03-31T00:00:00.000","2003-06-04T00:00:00.000","2010-04-26T00:00:00.000","Y","6101 GUN BOW CT","AUSTIN","227","THE TAVERN AT 12TH LP","13714564534","TX","78746","58920","1302"
"65958","0","MB536413","25331","922 W 12TH ST","AUSTIN","227","TAVERN","2","TX","78703","2008-11-30T00:00:00.000","2003-06-04T00:00:00.000","2010-04-26T00:00:00.000","Y","6101 GUN BOW CT","AUSTIN","227","THE TAVERN AT 12TH LP","13714564534","TX","78746","93739","2450"
"46893","0","MB746923","14614","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2011-05-31T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","63003","1496"
"49488","0","MB746923","22958","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2016-09-30T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","75692","3246"
"76683","0","MB746923","22092","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2011-10-31T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","101595","2820"
"53094","0","MB746923","20717","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2013-03-31T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","75459","1648"
"37346","0","MB536413","16049","922 W 12TH ST","AUSTIN","227","TAVERN","2","TX","78703","2009-06-30T00:00:00.000","2003-06-04T00:00:00.000","2010-04-26T00:00:00.000","Y","6101 GUN BOW CT","AUSTIN","227","THE TAVERN AT 12TH LP","13714564534","TX","78746","54174","779"
